,paths
256,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Nord-Sverige', 'Road', 1), ('Nord-Sverige', 'Sør-Sverige', 'Road', 1)]"
257,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Nord-Sverige', 'Road', 1)]"
258,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Nord-Sverige', 'Road', 1), ('Nord-Sverige', 'Sør-Sverige', 'Road', 1), ('Sør-Sverige', 'Europa', 'Road', 1)]"
259,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Bergen', 'Road', 1)]"
260,"[('Hamar', 'Trondheim', 'Road', 1), ('Trondheim', 'Bodø', 'Road', 1)]"
261,"[('Hamar', 'Trondheim', 'Road', 1), ('Trondheim', 'Bodø', 'Road', 1), ('Bodø', 'Tromsø', 'Road', 1)]"
262,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Road', 1), ('Skien', 'Kristiansand', 'Road', 1)]"
263,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Road', 1)]"
264,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Road', 1), ('Skien', 'Kristiansand', 'Road', 1), ('Kristiansand', 'Stavanger', 'Road', 1)]"
265,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Sør-Sverige', 'Road', 1)]"
266,"[('Hamar', 'Trondheim', 'Road', 1), ('Trondheim', 'Nord-Sverige', 'Road', 1)]"
267,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Sør-Sverige', 'Road', 1), ('Sør-Sverige', 'Europa', 'Road', 1)]"
268,"[('Kristiansand', 'Skien', 'Road', 1), ('Skien', 'Oslo', 'Road', 1)]"
269,"[('Kristiansand', 'Stavanger', 'Road', 1), ('Stavanger', 'Bergen', 'Road', 1)]"
270,"[('Kristiansand', 'Skien', 'Road', 1), ('Skien', 'Oslo', 'Road', 1), ('Oslo', 'Hamar', 'Road', 1), ('Hamar', 'Trondheim', 'Road', 1)]"
271,"[('Kristiansand', 'Skien', 'Road', 1), ('Skien', 'Oslo', 'Road', 1), ('Oslo', 'Hamar', 'Road', 1), ('Hamar', 'Trondheim', 'Road', 1), ('Trondheim', 'Bodø', 'Road', 1)]"
